PRODUCT NAME ,ITEM CODE,CATEGORY,SUBCATEGORY,BRAND ,HS CODE,MODEL SERIES ,MDR ,COLOR/TAGS,PACK NAME ,PCS PER PACK ,,
DENGUE IGG/IGM DEVICE ,A1,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002781,,1x25,25,,
HBSAG DEVICE ,A2,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0000350,,1X30,30,,
HCV DEVICE ,A3,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0000347,,1X30,30,,
HIV DEVICE ,A4,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0000348,,1X25,25,,
MALARIA PF/PV DEVICE ,A5,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002433,,1X25,25,,
SYPHILIS DEVICE ,A6,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,,,1X30,30,,
TB DEVICE ,A7,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002782,,1x25,25,,
DENGUE  NS1  DEVICE,A8,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002786,,1x25,25,,
H.PAYLORI   DEVICE ,A9,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,,,1X30,30,,
HIV EARLY DETECT KIT ,A10,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,,,1X100,1,,
MALARIA PF/ PAN DEVICE ,A11,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002432,,1X25,25,,
HBSAG DETERMINE ,A12,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0000353,,1X100,1,,
SYPHILIS DETERMINE ,A13,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0001561,,1X100,1,,
COVID-19 FLU KIT ,A14,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,,,1x20,1,,
DENGUE DUO/COMBO ,A15,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0002785,,1x1,1,,
H.PAYLORI STOOL DEVICE,A16,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,,,1X30,30,,
HIV+SYPHILIS DUO ,A17,RAPID DEVICES ,ABBOTT,ABBOTT,3822.1900,,0000349,,1x1,1,,
CLEANER H380 ,A18,REAGENTS,ALERE,ABBOTT,3822.1900,,0004068,,1x1 LTR,1,,
DELVENT H560  5P,A19,REAGENTS,ALERE,ABBOTT,3822.1900,,0004068,,1x20 LTR ,1,,
LYSE H380 DIFF 3P ,A20,REAGENTS,ALERE,ABBOTT,3822.1900,,0004068,,1x1 LTR,1,,
H380 INSTRUMENT A380-1,A21,INSTRUMENT,ALERE,ABBOTT,3822.1900,,0000436,,1x1,1,,
UROMETER 120 ,A22,INSTRUMENT,EQUIPMENT,ABBOTT,3822.1900,,,,1x1,1,,
UROCOLOR URINE STRIP 10-PM ,A23,URINE STRIPS,ABBOTT,ABBOTT,3822.1900,,,,1x100,1,,
DENGUE IGG/IGM DEVICE ,H1,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0006393,,1X25,25,,
DENGUE NS-1 DEVICE ,H2,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0003633,,1X25,25,,
H.PYLORI AG DEVICE,H4,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,,,1X25,25,,
H.PYLORI DEVICE ,H5,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0006438,,1X25,25,,
HBSAG DEVICE ,H6,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0006394,,1X25,25,,
HCV DEVICE ,H7,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0004992,,1X25,25,,
HIV DEVICE ,H8,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0004993,,1X25,25,,
MALARIA DEVICE ,H9,RAPID DEVICES ,HEALGEN,HEALGEN,3822.1900,,0006553,,1X25,25,,
